연번,정류소아이디(ID),정류소명,경도,위도,데이터기준일자
1028,3005,시쟁이,128.0978044,35.12643122,2021-09-09
1029,6006,시정,128.2797674,35.16984347,2021-09-09
1030,6005,시정,128.2795776,35.16998742,2021-09-09
1031,47033,시티프라디움/신진주공원,128.117485,35.15350658,2021-09-09
1032,47032,시티프라디움/신진주공원,128.1175974,35.15450148,2021-09-09
1033,47041,시티프라디움1차아파트/무듬산,128.1163368,35.15358046,2021-09-09
1034,47042,시티프라디움1차아파트/무듬산,128.1156604,35.15387736,2021-09-09
1035,4018,시평,128.1803062,35.122508,2021-09-09
1036,4019,시평,128.1800408,35.12255114,2021-09-09
1037,2062,시흥골,128.0297517,35.14150367,2021-09-09
1038,2063,시흥골,128.0299458,35.14145244,2021-09-09
1039,2034,신광,128.0265651,35.13992723,2021-09-09
1040,2033,신광,128.0262799,35.13976443,2021-09-09
1041,2064,신광회관입구,128.0285855,35.13908003,2021-09-09
1042,2065,신광회관입구,128.0286921,35.13904307,2021-09-09
1043,14054,신기,128.0303648,35.29087124,2021-09-09
1044,10090,신기,128.1637622,35.3120602,2021-09-09
1045,10091,신기,128.1639603,35.31207407,2021-09-09
1046,14116,신기,128.0305538,35.2908178,2021-09-09
1047,11014,신기/청곡사입구,128.1670288,35.19081966,2021-09-09
1048,11013,신기/청곡사입구,128.167138,35.19077355,2021-09-09
1049,4061,신담,128.1816331,35.12171544,2021-09-09
1050,9004,신당,128.2562338,35.21418729,2021-09-09
1051,9003,신당,128.25707,35.21268699,2021-09-09
1052,12051,신당,128.1130282,35.22865292,2021-09-09
1053,12050,신당,128.1130294,35.22874079,2021-09-09
1054,12049,신당입구,128.1126622,35.23423078,2021-09-09
1055,12048,신당입구,128.1125698,35.23429922,2021-09-09
1056,10104,신대,128.1853575,35.09995546,2021-09-09
1057,4066,신대,128.1854249,35.10006296,2021-09-09
1058,39042,신동,128.1062121,35.19948867,2021-09-09
1059,39043,신동,128.1062312,35.19927444,2021-09-09
1060,10098,신송산업,128.2113178,35.21998067,2021-09-09
1061,10099,신송산업,128.2114721,35.22001968,2021-09-09
1062,42025,신안공설운동장,128.0688793,35.18778937,2021-09-09
1063,42026,신안공설운동장,128.0695798,35.18783726,2021-09-09
1064,42032,신안빌라,128.0610307,35.17859299,2021-09-09
1065,41026,신안우체국,128.0676872,35.17764445,2021-09-09
1066,41027,신안우체국,128.0674727,35.1776148,2021-09-09
1067,42042,신안주공1차아파트,128.070781,35.17687807,2021-09-09
1068,42043,신안주공1차아파트,128.0710562,35.17672692,2021-09-09
1069,42048,신안주공1차아파트,128.0717133,35.17911858,2021-09-09
1070,42018,신안주공1차아파트,128.0713283,35.179478,2021-09-09
1071,42001,신안주공아파트,128.063781,35.17820383,2021-09-09
1072,42002,신안주공아파트,128.0640472,35.178206,2021-09-09
1073,42006,신안초등학교/진주여자중학교,128.0676713,35.18335886,2021-09-09
1074,42005,신안초등학교/진주여자중학교,128.0674573,35.18272983,2021-09-09
1075,42015,신안평거현대아파트,128.0663513,35.17979456,2021-09-09
1076,42016,신안평거현대아파트,128.0664133,35.17991795,2021-09-09
1077,42024,신안학생체육관,128.0691918,35.18838372,2021-09-09
1078,42023,신안학생체육관,128.0692077,35.18813122,2021-09-09
1079,42040,신안현대아파트,128.0718973,35.18497992,2021-09-09
1080,1089,신안현대아파트,128.0719179,35.1848806,2021-09-09
1081,42020,신안흥한아파트,128.0711891,35.18206351,2021-09-09
1082,42046,신안흥한아파트,128.070107,35.18054086,2021-09-09
1083,42047,신안흥한아파트,128.0700788,35.180672,2021-09-09
1084,42019,신안흥한아파트,128.0710389,35.18107791,2021-09-09
1085,1025,신촌,128.1512752,35.15977888,2021-09-09
1086,16104,신촌,127.9448497,35.16460532,2021-09-09
1087,16074,신촌,127.9449419,35.16459251,2021-09-09
1088,14062,신촌,128.048309,35.23679265,2021-09-09
1089,14061,신촌,128.0483327,35.23671358,2021-09-09
1090,13043,신촌,128.1249939,35.32648255,2021-09-09
1091,13042,신촌,128.1249151,35.32654412,2021-09-09
1092,1078,신촌,128.1511501,35.15966064,2021-09-09
1093,14110,신촌삼거리,128.0454185,35.23732689,2021-09-09
1094,14109,신촌삼거리,128.0452814,35.2373461,2021-09-09
1095,1076,신촌입구,128.1500017,35.16091985,2021-09-09
1096,1077,신촌입구,128.1505784,35.16106783,2021-09-09
1097,14043,신촌회관,128.0451001,35.23969554,2021-09-09
1098,14042,신촌회관,128.0450031,35.23963329,2021-09-09
1099,13087,신촌회관,128.1242706,35.3242789,2021-09-09
1100,13086,신촌회관,128.1243324,35.32417468,2021-09-09
1101,15001,신풍,127.99733,35.18800318,2021-09-09
1102,15002,신풍,127.9974036,35.18796653,2021-09-09
